tip,date,group
Jeddah-1_KF917527_camel_2013-11-08,2013-11-08,camel
Jeddah-1_KF958702_human_2013-11-05,2013-11-05,human
Wadi-Ad-Dawasir_1_2013_KJ156881_human_2013-06-12,2013-06-12,human
Taif_1_2013_KJ156949_human_2013-06-12,2013-06-12,human
Taif_3_2013_KJ156938_human_2013-06-13,2013-06-13,human
Riyadh_5_2013_KJ156944_human_2013-07-02,2013-07-02,human
Riyadh_3_2013_KF600613_human_2013-02-05,2013-02-05,human
Riyadh_4_2013_KJ156952_human_2013-03-01,2013-03-01,human
England_1_2012_KC164505_human_2012-09-11,2012-09-11,human
Munich_AbuDhabi_2013_KF192507_human_2013-03-22,2013-03-22,human
KSA-363_KJ713298_camel_2013-11,2013-11,camel
Riyadh_2014KSA_158_KSA_2014_KM027281_human_2014-05-20,2014-05-20,human
Riyadh_1_2012_KF600612_human_2012-10-23,2012-10-23,human
KSA-503_KJ713297_camel_2013-11,2013-11,camel
D998_15_KX108943_camel_2015-04-23,2015-04-23,camel
EMC_2012_JX869059_human_2012-06-13,2012-06-13,human
Jordan-N3_2012_KC776174_human_2012-04-15,2012-04-15,human
Egypt_NRCE-NC163_2014_KU740200_camel_2014-12-17,2014-12-17,camel
KSA-378_KJ713296_camel_2013-11,2013-11,camel
Qatar_2_2014_KJ650098_camel_2014-02-16,2014-02-16,camel
Buraidah_1_2013_KF600630_human_2013-05-13,2013-05-13,human
Riyadh_2_2012_KF600652_human_2012-10-30,2012-10-30,human
Germany3_UAE-Dubai_Abu-Dhabi__human_2015-03-11,2015-03-11,human
Jeddah_F13A_2014_KT368824_camel_2014-05,2014-05,camel
NRCE-HKU205_KJ477102_camel_2013-11-15,2013-11-15,camel
KSA-505_KJ713295_camel_2013-11,2013-11,camel
KSA-376_KJ713299_camel_2013-11,2013-11,camel
Camel_Egypt_NRCE-HKU270__camel_2013-12-30,2013-12-30,camel
Camel_Egypt_NRCE-HKU271__camel_2013-12-30,2013-12-30,camel
Jeddah_C9055_KSA_KM027259_human_2014-04-14,2014-04-14,human
Jeddah-KFH-285TA__human_2014-06-03,2014-06-03,human
Asir_2_2013_KJ156863_human_2013-08-05,2013-08-05,human
Riyadh_9_2013_KJ156869_human_2013-07-17,2013-07-17,human
England_4_2013_KM210277_human_2013-02-13,2013-02-13,human
Indiana_USA-1_SaudiArabia_2014_KJ813439_human_2014-04-30,2014-04-30,human
Riyadh_2014KSA_683_KSA_2014_KM027262_human_2014-04-22,2014-04-22,human
Riyadh_6_2013_KJ156879_human_2013-07-02,2013-07-02,human
Hafr-Al-Batin_4_2013_KJ156931_human_2013-08-25,2013-08-25,human
D1157_15_KX108944_camel_2015-05-12,2015-05-12,camel
Riyadh_Ry179_2015_KT368875_camel_2015-03,2015-03,camel
Jeddah-KFH-605TD__human_2014-06-09,2014-06-09,human
Taif_2_2013_KJ156896_human_2013-06-12,2013-06-12,human
Al-Hasa_23_2013_KJ156860_human_2013-05-13,2013-05-13,human
England_2_2013_KM015348_human_2013-02-10,2013-02-10,human
England_3_2013_KM210278_human_2013-02-10,2013-02-10,human
KFMC-9_KT121574_human_2014-05-07,2014-05-07,human
Riyadh-KKUH-368__human_2014-05-13,2014-05-13,human
Hafr-Al-Batin_1_2013_KF600628_human_2013-06-04,2013-06-04,human
Hafr-Al-Batin_5_2013_KJ156951_human_2013-08-25,2013-08-25,human
Riyadh-KSA-2466_2015_KR011265_human_2015-01-26,2015-01-26,human
Jeddah_D35_2014_KT368831_camel_2014-12,2014-12,camel
Jeddah_C7569_KSA_KM027256_human_2014-04-03,2014-04-03,human
Jeddah_C10306_KSA_KM027260_human_2014-04-21,2014-04-21,human
Jeddah_C8826_KSA_KM027258_human_2014-04-12,2014-04-12,human
Jeddah_C7770_KSA_KM027257_human_2014-04-07,2014-04-07,human
UAE-FRA1_1627-2013_BAL_KJ361500_human_2013-04-26,2013-04-26,human
Al-Hasa_15_2013_KF600645_human_2013-05-11,2013-05-11,human
KFMC-6_KT121576_human_2014-05-18,2014-05-18,human
Riyadh-KKUH-291__human_2014-05-06,2014-05-06,human
Riyadh-KKUH-90b__human_2014-04-24,2014-04-24,human
Hafr-Al-Batin_2_2013_KJ156910_human_2013-08-05,2013-08-05,human
Riyadh-KSA-2343_2015_KR011264_human_2015-01-21,2015-01-21,human
Jeddah_D34_2014_KT368830_camel_2014-12,2014-12,camel
Florida_USA-2_SaudiArabia_2014_KJ829365_human_2014-05-10,2014-05-10,human
Jeddah-KFH-949NSG1__human_2014-06-18,2014-06-18,human
Qatar3_KF961221_human_2013-10-13,2013-10-13,human
Qatar4_KF961222_human_2013-10-17,2013-10-17,human
Hafr-Al-Batin_6_2013_KJ156874_human_2013-08-28,2013-08-28,human
Riyadh_12_2013_KJ156926_human_2013-08-08,2013-08-08,human
Riyadh-KSA-2049_2015_KR011266_human_2015-01-06,2015-01-06,human
Riyadh-KSA-2345_2015_KR011263_human_2015-01-21,2015-01-21,human
Jeddah_D33b_2014_KT368829_camel_2014-12,2014-12,camel
Jeddah_D36_2014_KT368832_camel_2014-12,2014-12,camel
Jeddah_C7149_KSA_KM027255_human_2014-04-05,2014-04-05,human
Makkah_C9355_KSA_Makkah_KM027261_human_2014-04-15,2014-04-15,human
Jeddah-KFH-668TD__human_2014-06-09,2014-06-09,human
Jeddah-KFH-899NF__human_2014-06-16,2014-06-16,human
Al-Hasa_18_2013_KF600651_human_2013-05-23,2013-05-23,human
KFMC-10_KT121578_human_2014-05-01,2014-05-01,human
KFMC-2_KT121577_human_2014-05-11,2014-05-11,human
Oman_2874_2013_KT156561_human_2013-12-28,2013-12-28,human
UAE_D469-14_KU242424_camel_2014-03-04,2014-03-04,camel
Al-Hasa_4_2013_KF186564_human_2013-05-01,2013-05-01,human
KFMC-5_KT121572_human_2014-05-12,2014-05-12,human
KFMC-3_KT121573_human_2014-05-09,2014-05-09,human
Riyadh_7_2013_KJ156937_human_2013-07-15,2013-07-15,human
Madinah_3b_2013_KJ156916_human_2013-09-11,2013-09-11,human
Riyadh_11_2013_KJ156946_human_2013-08-06,2013-08-06,human
Riyadh_8_2013_KJ156880_human_2013-07-17,2013-07-17,human
UAE_D1164.10_2014_KP719928_camel_2014-06,2014-06,camel
AbuDhabi_UAE_9_2013_KP209312_human_2013-11-15,2013-11-15,human
Oman_2285_2013_KT156560_human_2013-10-28,2013-10-28,human
